Address, Size(byte), Modbus Address, Data Name, Access, Initial Value, Range, Unit
0, 2, 40001, Model Number, R, 2120, -, -
2, 4, 40002, Model Information, R, -, -, -
6, 1, 40004 (Lo Byte), Firmware Version, R, -, -, -
7, 1, 40004 (Hi Byte), ID, RW, 1, 0 ~ 252 (DYNAMIXEL Protocol 2.0)  1 ~ 247 (Modbus), -
8, 1, 40005 (Lo Byte), Baud Rate, RW, 1, 0 ~ 9, -
9, 1, N/A, Return Delay Time, RW, 250, 0 ~ 254, 2 [μsec]
10, 1, 40006 (Lo Byte), Drive Mode, RW, 0, 0 ~ 1, -
11, 1, 40006 (Hi Byte), Operating Mode, RW, 3, 0 1 3 4 16, -
12, 1, N/A, Secondary ID, RW, 255, 0 ~ 255, -
13, 1, 40007 (Hi Byte), Protocol Type, RW, 2, 2 10, -
20, 4, 40011, Homing Offset, RW, 0, -2147483648 ~ 2147483647, 1 [pulse]
24, 4, 40013, Moving Threshold, RW, 20, 0 ~ 2830, 0.01 [rev/min]
31, 1, 40016 (Hi Byte), Temperature Limit, RW, 80, 0 ~ 100, 1 [°C]
32, 2, 40017, Max Voltage Limit, RW, 350, 150 ~ 350, 0.1 [V]
34, 2, 40018, Min Voltage Limit, RW, 150, 150 ~ 350, 0.1 [V]
36, 2, 40019, PWM Limit, RW, 2009, 0 ~ 2009, 0.498 [%]
38, 2, 40020, Current Limit, RW, 7980, 0 ~ 7980, 1 [mA]
40, 4, 40021, Acceleration Limit, RW, 11145, 0 ~ 4457932, 1 [rev/min2]
44, 4, 40023, Velocity Limit, RW, 2830, 0 ~ 2830, 0.01 [rev/min]
48, 4, 40025, Max Position Limit, RW, 251173, -251417 ~ 251417, 1 [pulse]
52, 4, 40027, Min Position Limit, RW, -251173, -251417 ~ 251417, 1 [pulse]
56, 1, 40029 (Lo Byte), External Port Mode 1, RW, 3, 0 ~ 3, -
57, 1, 40029 (Hi Byte), External Port Mode 2, RW, 3, 0 ~ 3, -
58, 1, 40030 (Lo Byte), External Port Mode 3, RW, 3, 0 ~ 3, -
59, 1, 40030 (Hi Byte), External Port Mode 4, RW, 3, 0 ~ 3, -
63, 1, 40032 (Hi Byte), Shutdown, RW, 58, 0 ~ 63, -
168, 2, N/A, Indirect Address 1, RW, 634, 512 ~ 1023, -
170, 2, N/A, Indirect Address 2, RW, 635, 512 ~ 1023, -
172, 2, N/A, Indirect Address 3, RW, 636, 512 ~ 1023, -
…, …, …, …, …, …, …, …
422, 2, N/A, Indirect Address 128, RW, 761, 512 ~ 1023, -
512, 1, 40257 (Lo Byte), Torque Enable, RW, 0, 0 ~ 1, -
513, 1, 40257 (Hi Byte), LED Red, RW, 0, 0 ~ 255, -
514, 1, 40258 (Lo Byte), LED Green, RW, 0, 0 ~ 255, -
515, 1, 40258 (Hi Byte), LED Blue, RW, 0, 0 ~ 255, -
516, 1, N/A, Status Return Level, RW, 2, 0 ~ 2, -
517, 1, N/A, Registered Instruction, R, 0, -, -
518, 1, 40260 (Lo Byte), Hardware Error Status, R, 0, -, -
524, 2, 40263, Velocity I Gain, RW, 813, 0 ~ 32767, -
526, 2, 40264, Velocity P Gain, RW, 2265, 0 ~ 32767, -
528, 2, 40265, Position D Gain, RW, 0, 0 ~ 32767, -
530, 2, 40266, Position I Gain, RW, 0, 0 ~ 32767, -
532, 2, 40267, Position P Gain, RW, 502, 0 ~ 32767, -
536, 2, 40269, Feedforward 2nd Gain, RW, 0, 0 ~ 32767, -
538, 2, 40270, Feedforward 1st Gain, RW, 0, 0 ~ 32767, -
546, 1, 40274 (Lo Byte), Bus Watchdog, RW, 0, 0 ~ 127, 20 [msec]
548, 2, 40275, Goal PWM, RW, -, -PWM Limit(36) ~ PWM Limit(36), 0.498 [%]
