Address, Size(byte), Data Name, Access, Initial Value, Range, Unit
0, 2, Model Number, R, 1200, -, -
2, 4, Model Information, R, -, -, -
6, 1, Firmware Version, R, -, -, -
7, 1, ID, RW, 1, 0 ~ 252, -
8, 1, Baud Rate, RW, 1, 0 ~ 6, -
9, 1, Return Delay Time, RW, 250, 0 ~ 254, 2  [μsec ]
10, 1, Drive Mode, RW, 0, 0 ~ 5, -
11, 1, Operating Mode, RW, 3, 0 ~ 16, -
12, 1, Secondary(Shadow) ID, RW, 255, 0 ~ 252, -
13, 1, Protocol Type, RW, 2, 2 ~ 22, -
20, 4, Homing Offset, RW, 0, -1044479 ~1044479, 1  [pulse ]
24, 4, Moving Threshold, RW, 10, 0 ~ 1023, 0.229  [rev/min]
31, 1, Temperature Limit, RW, 70, 0 ~ 100, 1  [°C]
32, 2, Max Voltage Limit, RW, 70, 31 ~ 70, 0.1  [V]
34, 2, Min Voltage Limit, RW, 35, 31 ~ 70, 0.1  [V]
36, 2, PWM Limit, RW, 885, 0 ~ 885, 0.113  [%]
38, 2, Current Limit, RW, 1750, 0 ~ 1750, 1  [mA ]
44, 4, Velocity Limit, RW, 445, 0 ~ 2047, 0.229  [rev/min]
48, 4, Max Position Limit, RW, 4095, 0 ~ 4095, 1  [pulse]
52, 4, Min Position Limit, RW, 0, 0 ~ 4095, 1  [pulse]
62, 1, PWM Slope, RW, 140, 1 ~ 255, 1.977 [mV/msec]
63, 1, Shutdown, RW, 53, -, -
64, 1, Torque Enable, RW, 0, 0 ~ 1, -
65, 1, LED, RW, 0, 0 ~ 1, -
68, 1, Status Return Level, RW, 2, 0 ~ 2, -
69, 1, Registered Instruction, R, 0, 0 ~ 1, -
70, 1, Hardware Error Status, R, 0, -, -
76, 2, Velocity I Gain, RW, 1600, 0 ~ 16383, -
78, 2, Velocity P Gain, RW, 180, 0 ~ 16383, -
80, 2, Position D Gain, RW, 0, 0 ~ 16383, -
82, 2, Position I Gain, RW, 0, 0 ~ 16383, -
84, 2, Position P Gain, RW, 400, 0 ~ 16383, -
88, 2, Feedforward 2nd Gain, RW, 0, 0 ~ 16383, -
90, 2, Feedforward 1st Gain, RW, 0, 0 ~ 16383, -
98, 1, Bus Watchdog, RW, 0, 1 ~ 127, 20 [msec]
100, 2, Goal PWM, RW, -, -PWM Limit(36) ~PWM Limit(36), -
102, 2, Goal Current, RW, -, -Current Limit(38) ~Current Limit(38), 1 [mA]
104, 4, Goal Velocity, RW, -, -Velocity Limit(44) ~Velocity Limit(44), 0.229 [rev/min]
108, 4, Profile Acceleration, RW, 0, 0 ~ 327670 ~ 32737, 214.577 [rev/min2]1 [ms]
112, 4, Profile Velocity, RW, 0, 0 ~ 32767, 0.229 [rev/min]
116, 4, Goal Position, RW, -, Min Position Limit(52) ~Max Position Limit(48), 1 [pulse]
120, 2, Realtime Tick, R, -, 0 ~ 32767, 1 [msec]
122, 1, Moving, R, 0, 0 ~ 1, -
123, 1, Moving Status, R, 0, -, -
124, 2, Present PWM, R, -, -, -
126, 2, Present Current, R, -, -, 1 [mA]
128, 4, Present Velocity, R, -, -, 0.229 [rev/min]
132, 4, Present Position, R, -, -, 1 [pulse]
136, 4, Velocity Trajectory, R, -, -, 0.229 [rev/min]
140, 4, Position Trajectory, R, -, -, 1 [pulse]
144, 2, Present Input Voltage, R, -, -, 0.1 [V]
146, 1, Present Temperature, R, -, -, 1 [°C]
168, 2, Indirect Address 1, RW, 208, 64 ~ 227, -
170, 2, Indirect Address 2, RW, 209, 64 ~ 227, -
172, 2, Indirect Address 3, RW, 210, 64 ~ 227, -
…, …, …, …, …, …, …
202, 2, Indirect Address 18, RW, 225, 64 ~ 227, -
204, 2, Indirect Address 19, RW, 226, 64 ~ 227, -
206, 2, Indirect Address 20, RW, 227, 64 ~ 227, -
208, 1, Indirect Data 1, RW, 0, 0 ~ 255, -
209, 1, Indirect Data 2, RW, 0, 0 ~ 255, -
210, 1, Indirect Data 3, RW, 0, 0 ~ 255, -
…, …, …, …, …, …, …
225, 1, Indirect Data 18, RW, 0, 0 ~ 255, -
226, 1, Indirect Data 19, RW, 0, 0 ~ 255, -
227, 1, Indirect Data 20, RW, 0, 0 ~ 255, -
